no;code;nom;surf;long;lat;alt;nbcom;biogeo;activplus;activmoins
702;6469;Forêt de l'Ospedale;733;9.18;41.66;1130;3;Méditerranéenne;6;5
703;6471;Embouchure du Stabiaccu, Domaine Public Maritime et îlot Ziglione;196;9.28;41.57;1;1;Méditerranéenne;4;3
704;6472;Roccapina-Ortolo;1066;8.94;41.5;176;2;Méditerranéenne;4;3
705;6474;Défilé de l'Inzecca;179;9.29;42.1;350;1;Méditerranéenne;1;1
706;6475;Strettes de St Florent;186;9.33;42.68;179.5;1;Méditerranéenne;1;1
707;6476;Pinarellu : dunes et étangs de Padulatu et Padulatu Tortu;134;9.37;41.66;7;1;Méditerranéenne;7;7
708;6477;Baie de San Ciprianu : étangs d'Arasu et îles San Ciprianu et ilot Cornuta;106;9.36;41.64;9.5;1;Méditerranéenne;4;4
709;6478;Embouchure du Taravo, plage de Tenutella et étang de Tanchiccia;126;8.81;41.71;5.5;3;Méditerranéenne;7;6
710;6481;Marais et tourbières du Valdo et de Baglietto;111;9.17;42.47;231.5;1;Méditerranéenne;3;2
711;6483;Anciennes galeries de mines de lozari/Belgodere(site à chauves-souris);13;9.01;42.62;42;1;Méditerranéenne;0;0
712;6484;Capo di feno;1485;8.61;41.96;166.5;2;Méditerranéenne;8;8
713;6487;Savart du camp militaire de Suippes;7957;4.64;49.18;170;9;Continentale;3;3
714;6490;Marais de la Vesle en amont de Reims;466;4.19;49.18;87;8;Continentale;6;6
715;6491;Marais de la Superbe;276;3.9;48.59;78;4;Continentale;6;5
716;6493;Prairies, Marais et bois alluviaux de la Bassée;841;3.69;48.53;66;12;Continentale;3;3
717;6494;Prairies et bois alluviaux de la basse vallée alluviale de l'Aube;742;3.99;48.55;92;14;Continentale;5;5
718;6497;Garenne de la Perthe;637;3.97;48.61;106;1;Continentale;1;1
719;6502;Fort de Dampierre ou Magalotti;65;5.42;47.95;489;2;Continentale;2;2
720;6503;Site à chiroptères de la vallée de la Bar;2228;4.82;49.59;167;5;Continentale;0;0
721;6505;Tourbières et marais de l'Avre;322;2.42;49.82;67.5;6;Atlantique;2;4
722;6506;Réseau de coteaux et vallée du bassin de la Selle;618;1.94;49.72;127.5;20;Atlantique;8;9
723;6507;Bocage du Franc Bertin;133;4.21;49.75;210;2;Continentale;15;13
724;6508;Tourbière et coteaux de Cessières Montbavin;679;3.51;49.54;120;5;Atlantique;4;10
725;6516;les cavités de Beaumont-le-Roger;0.55;0.77;49.08;113;1;Atlantique;2;2
726;6518;Massifs forestiers et rivières du Pays-Fort;3104;2.43;47.29;282;19;Atlantique;3;2
727;6519;Haute vallée de l'Arnon et petits affluents;305;2.3;46.48;300;2;Continentale;0;0
728;6520;Coteaux, bois et marais calcaires de la Champagne Berrichonne;5008;2.5;46.88;155;38;Atlantique;4;2
729;6521;Basse vallée de l'Arnon;1334;2.28;46.69;170;14;Atlantique;5;3
730;6523;Vallée de l'Essonne et vallons voisins;837;2.36;48.22;107;21;Atlantique;6;5
731;6524;Forêt d'Orléans et périphérie;2251;2.47;47.8;136;32;Atlantique;4;1
732;6525;Vallée de la Loire de Tavers à Belleville-sur-Loire;7120;2.29;47.78;105;50;Atlantique;13;11
733;6526;Grande Brenne;58052;1.25;46.75;100;24;Atlantique;12;9
734;6527;Vallée de la Creuse et affluents;5283;1.57;46.53;190.5;33;Continentale;2;1
735;6528;Vallée de l'Indre;2147;1.21;46.96;100;22;Atlantique;3;2
736;6529;Les puys du Chinonais;127.18;0.24;47.19;69.5;3;Atlantique;10;7
737;6530;Complexe forestier de Chinon, landes du Ruchard;1214;0.44;47.19;87.5;8;Atlantique;2;0
738;6531;La Loire de Candes Saint Martin à Mosnes;5556;0.48;47.34;37.5;37;Atlantique;15;14
739;6532;Vallée de l'Eure de Maintenon à Anet et vallons affluents;751;1.41;48.77;102.5;46;Atlantique;2;1
740;6533;Nord-ouest Sologne;1337;1.73;47.75;114.5;3;Atlantique;5;4
741;6534;Domaine de Chambord;4676;1.54;47.61;100.5;3;Atlantique;3;2
743;6535;Vallée du Cher et coteaux, forêt de Grosbois;1700;1.47;47.25;94;6;Atlantique;3;1
744;6536;Vallée de la Cisse en amont de Saint-Lubin;336;1.28;47.66;92;6;Atlantique;1;1
745;6537;Vallée de la Loire de Mosnes à Tavers;2278;1.37;47.6;54.5;21;Atlantique;5;10
746;6538;Sologne;346184;1.98;47.53;110;95;Atlantique;6;5
747;6539;Complexe du Changeon et de la Roumer;4564;0.19;47.37;75.5;19;Atlantique;8;8
748;6551;Bassin de la Souleuvre;5634;-0.82;48.95;191;3;Atlantique;9;7
749;6557;Dunes et marais arrière-littoraux de la plaine maritime picarde;1021;1.59;50.44;18;4;Atlantique;21;19
750;6559;Massif du Grand Ventron;944;6.91;47.96;1012;2;Continentale;7;6
751;6830;Vallée de la Meuse (secteur de Stenay);2338;5.18;49.45;168.5;26;Continentale;10;10
753;6563;Hautes Vosges;9002;6.98;47.99;950;27;Continentale;19;18
754;6564;Forêt de Haguenau;19220.48;7.89;48.85;162;21;Continentale;11;10
755;6565;Forêt domaniale de la Harth;13039.56;7.45;47.83;234;21;Continentale;9;6
756;6566;Estuaire de la Loire;21726;-1.84;47.24;2;67;Atlantique;9;8
758;6567;Vallée de la Loire de Nantes aux Ponts-de-Cé et ses annexes;16522;-0.96;47.37;23.5;77;Atlantique;12;12
760;6568;Grande Brière et marais de Donges;16842;-2.24;47.37;3;17;Atlantique;11;9
761;7385;Marais de l'Erdre;2747;-1.5;47.36;6;14;Atlantique;7;7
763;6571;Marais du Mès, baie et dunes de Pont-Mahé, étang du Pont de Fer;2688;-2.42;47.41;5;14;Atlantique;17;13
765;6572;Marais salants de Guérande, traicts du Croisic et dunes de Pen-Bron;4376;-4.81;47.3;17.5;5;Atlantique;12;10
766;6573;Forêt, étang de Vioreau et étang de la Provostière;281;-1.42;47.52;34.5;4;Atlantique;4;4
767;6578;Massif forestier de Vibraye;269;0.72;48.02;160;2;Atlantique;2;1
768;6580;Champagne de Méron;1334;-0.08;47.11;43.5;4;Atlantique;4;3
769;6582;Ruisseau le Magot;241;-0.04;46.62;162.5;3;Atlantique;8;9
770;6586;Vallée de la Nizonne;3391;0.26;45.39;125;20;Atlantique;11;11
771;6589;Vallées des Beunes;5510;1.11;44.91;170;12;Atlantique;10;11
